Approximate Location,Poverty,PM2.5,Asthma,Area Type
Arcadia,15.9,11.91047843,23.46,Inner LA
Los Angeles,30.4,11.74162162,26.16,Inner LA
Palmdale,23.3,7.567773362,51.51,Outer LA
Los Angeles,17.1,11.64698253,27.64,Inner LA
Whittier,5.2,11.85755128,36.71,Inner LA
Santa Monica,7.5,11.69434868,22.14,Inner LA
Los Angeles,15.7,11.65326691,18.77,Inner LA
Pasadena,27.3,11.08381171,16.62,Inner LA
Los Angeles,14.4,11.9420043,22.06,Inner LA
La Verne,8.3,12.30622172,34.88,Inner LA
Los Angeles,12.1,11.36879135,12.64,Inner LA
Los Angeles,19.5,11.60767179,55.88,Inner LA
Los Angeles,20.7,11.68337511,34.71,Inner LA
La Crescenta-Montrose,18.7,11.3464301,24.88,Inner LA
Los Angeles,12.1,11.63925882,34.71,Inner LA
Santa Monica,12.5,11.74617518,24.3,Inner LA
Santa Clarita,13.6,9.82382783,30.9,Outer LA
Santa Clarita,8.2,10.05170787,40.07,Outer LA
Rowland Heights,34.4,12.09228064,28.38,Inner LA
Los Angeles,19.3,10.85587997,54.8,Inner LA
Beverly Hills,12.9,11.699038,32.83,Inner LA
Arcadia,26.2,11.76789157,18.19,Inner LA
Unincorporated Los Angeles County area,25.3,7.211912338,27.24,Outer LA
Pasadena,23.4,11.36217641,35.6,Inner LA
La Crescenta-Montrose,10.2,11.4121755,22.81,Inner LA
West Hollywood,19.3,11.7451443,18.53,Inner LA
Los Angeles,19.8,11.60245628,39.55,Inner LA
Los Angeles,24.6,11.71336866,17.8,Inner LA
Los Angeles,10.1,11.89088295,31.27,Inner LA
Los Angeles,8.8,11.40771727,34.83,Inner LA
Los Angeles,27.5,11.66972548,33.16,Inner LA
Whittier,20.6,11.88524703,56.32,Inner LA
Burbank,9.9,11.75446657,39.31,Inner LA
Agoura Hills,14.8,9.913488285,14.79,Inner LA
Los Angeles,22.6,11.64839617,26.81,Inner LA
Avalon,29.3,7.981629537,40.32,Inner LA
San Dimas,15.6,12.15593043,41.32,Inner LA
Los Angeles,14.9,11.82297189,29.55,Inner LA
East San Gabriel,23.9,11.77607393,15.22,Inner LA
Los Angeles,16.6,11.54047452,15.21,Inner LA
Pasadena,11.4,11.64658844,21.05,Inner LA
Los Angeles,8.6,10.94379099,26.14,Inner LA
Lancaster,17.3,7.168119235,60.67,Outer LA
Culver City,6.2,11.68561304,35.85,Inner LA
Los Angeles,7.3,12.00322844,33.65,Inner LA
Los Angeles,9.7,11.46491729,34.49,Inner LA
Los Angeles,24.5,11.68010796,27.66,Inner LA
Santa Monica,12.3,11.69101747,33.5,Inner LA
Arcadia,21.4,11.74239688,19.0,Inner LA
Santa Clarita,15.5,9.957793429,32.41,Outer LA
Claremont,8.7,12.88984549,32.39,Inner LA
San Dimas,10.8,12.33417442,39.48,Inner LA
Glendora,19.7,12.16620773,32.65,Inner LA
Monrovia,18.9,11.87333886,48.33,Inner LA
Santa Clarita,12.3,9.876284052,20.63,Outer LA
Beverly Hills,7.7,11.62334721,18.87,Inner LA
Unincorporated Los Angeles County area,34.8,9.930625459,32.96,Outer LA
Los Angeles,10.1,10.37209684,45.13,Inner LA
Santa Clarita,16.3,10.03642942,40.87,Outer LA
Pasadena,20.4,11.03330382,22.54,Inner LA
Los Angeles,16.1,11.58733944,62.23,Inner LA
Los Angeles,21.7,11.68678342,34.75,Inner LA
Santa Clarita,9.7,10.31364147,52.57,Outer LA
Los Angeles,14.5,11.76246181,22.17,Inner LA
Monterey Park,41.0,11.964271,25.04,Inner LA
Unincorporated Los Angeles County area,13.1,9.974034972,5.94,Outer LA
Hacienda Heights,16.3,11.88787151,40.76,Inner LA
Covina,24.6,12.20797458,37.39,Inner LA
Glendale,12.0,11.2573555,17.98,Inner LA
Arcadia,17.3,11.83355229,17.71,Inner LA
Los Angeles,17.0,11.75489665,15.21,Inner LA
Redondo Beach,17.6,12.06356922,28.1,Inner LA
Rancho Palos Verdes,19.0,11.17290669,13.39,Inner LA
Arcadia,17.0,11.77067294,17.31,Inner LA
